OpenJDK 64-Bit Server VM (25.362-b08) for linux-amd64 JRE (1.8.0_362-b08), built on Jan 25 2023 16:43:50 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
Memory: 4k page, physical 58720256k(58713180k free), swap 0k(0k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/opt/CA/itoa/ade/logs/heap_dump.bin -XX:InitialHeapSize=268435456 -XX:MaxHeapFreeRatio=70 -XX:MaxHeapSize=42949672960 -XX:MinHeapFreeRatio=10 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2023-04-09T19:11:35.134+0000: 60.554: [GC (Allocation Failure) [PSYoungGen: 82928K->15840K(82944K)] 113237K->51909K(258048K), 0.0121719 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2023-04-09T19:11:35.519+0000: 60.939: [GC (Allocation Failure) [PSYoungGen: 82912K->19936K(87040K)] 118981K->61589K(262144K), 0.0145835 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2023-04-09T19:11:35.892+0000: 61.311: [GC (Allocation Failure) [PSYoungGen: 87008K->25056K(88064K)] 128661K->70533K(263168K), 0.0171855 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2023-04-09T19:11:36.285+0000: 61.705: [GC (Allocation Failure) [PSYoungGen: 88032K->29152K(92160K)] 133509K->80429K(267264K), 0.0378930 secs] [Times: user=0.20 sys=0.00, real=0.04 secs] 
2023-04-09T19:11:36.729+0000: 62.149: [GC (Allocation Failure) [PSYoungGen: 92128K->29152K(92160K)] 143405K->88853K(267264K), 0.0922593 secs] [Times: user=0.17 sys=0.01, real=0.10 secs] 
2023-04-09T19:11:37.235+0000: 62.654: [GC (Allocation Failure) [PSYoungGen: 92128K->29152K(92160K)] 151829K->97289K(267264K), 0.0826099 secs] [Times: user=0.09 sys=0.01, real=0.08 secs] 
2023-04-09T19:11:37.700+0000: 63.120: [GC (Allocation Failure) [PSYoungGen: 92128K->29152K(92160K)] 160265K->105705K(267264K), 0.0273381 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2023-04-09T19:11:38.101+0000: 63.520: [GC (Allocation Failure) [PSYoungGen: 92128K->29152K(92160K)] 168681K->117105K(267264K), 0.0338391 secs] [Times: user=0.17 sys=0.01, real=0.03 secs] 
2023-04-09T19:11:38.558+0000: 63.978: [GC (Allocation Failure) [PSYoungGen: 92128K->29152K(92160K)] 180081K->125513K(267264K), 0.0294043 secs] [Times: user=0.15 sys=0.01, real=0.03 secs] 
2023-04-09T19:11:38.931+0000: 64.351: [GC (Allocation Failure) [PSYoungGen: 92128K->29152K(92160K)] 188489K->133929K(267264K), 0.0313607 secs] [Times: user=0.13 sys=0.01, real=0.03 secs] 
2023-04-09T19:11:39.295+0000: 64.715: [GC (Allocation Failure) [PSYoungGen: 92128K->29152K(92160K)] 196905K->142321K(267264K), 0.0307454 secs] [Times: user=0.13 sys=0.01, real=0.03 secs] 
2023-04-09T19:11:39.657+0000: 65.077: [GC (Allocation Failure) [PSYoungGen: 92128K->19744K(92160K)] 205297K->150929K(267264K), 0.0323244 secs] [Times: user=0.15 sys=0.00, real=0.03 secs] 
2023-04-09T19:11:39.996+0000: 65.416: [GC (Allocation Failure) [PSYoungGen: 82720K->16768K(92160K)] 213905K->159361K(267264K), 0.0376465 secs] [Times: user=0.23 sys=0.00, real=0.04 secs] 
2023-04-09T19:11:40.379+0000: 65.799: [GC (Allocation Failure) [PSYoungGen: 79744K->8448K(92160K)] 222337K->167785K(267264K), 0.0365600 secs] [Times: user=0.21 sys=0.01, real=0.04 secs] 
2023-04-09T19:11:40.415+0000: 65.835: [Full GC (Ergonomics) [PSYoungGen: 8448K->0K(92160K)] [ParOldGen: 159337K->164393K(336896K)] 167785K->164393K(429056K), [Metaspace: 76721K->76721K(79872K)], 0.4098641 secs] [Times: user=3.16 sys=0.05, real=0.41 secs] 
2023-04-09T19:11:41.146+0000: 66.566: [GC (Allocation Failure) [PSYoungGen: 62976K->8512K(65536K)] 227369K->172905K(402432K), 0.0266114 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2023-04-09T19:11:41.366+0000: 66.786: [GC (Allocation Failure) [PSYoungGen: 44864K->5024K(92160K)] 209257K->177833K(429056K), 0.0354459 secs] [Times: user=0.19 sys=0.01, real=0.04 secs] 
2023-04-09T19:11:41.588+0000: 67.008: [GC (Allocation Failure) [PSYoungGen: 41376K->5024K(97280K)] 214185K->182713K(434176K), 0.0310766 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
